Number,Photo,Artist,Artwork Title,Year,Location (Country),"Tentative Description (Note: each description was not provided by the artists, but was generated using artificial intelligence with human supervision, and is still open to different interpretations).",Website link,Author Photo / Copyrights ,,,,,,,,,,,,,,,,,,,,,,,,,,Aware_SD
517,Picture,Moxaico,Práctica deporte en igualdad,2023,Spain,"Athletes engaged in various sports. From left to right: a volleyball player, a runner, a basketball player, a soccer player, and a cyclist. The athletes are in action poses, with the basketball player, a person with a visible muscular build, being the most prominent. The other figures display dynamic motion indicative of their respective sports. The background transitions from a warm yellow and orange on the left to a cooler blue on the right. The athletes are painted in naturalistic tones.

",https://www.instagram.com/p/Co90-Elouxh/,,,,,,,,,,,,,,,,,,,,,,,,,,,2.54
518,Picture,Moxaico,LA TRILLA,2022,Spain,"Composite scene with a large profile of a person's face on the right side. Within the outline of their hair and facial features, a smaller scene depicting a rural landscape with a donkey and two figures, presumably farmers, one of whom- a person - is guiding the donkey.
",https://www.instagram.com/p/Cc2nAe2o5GM/ ,,,,,,,,,,,,,,,,,,,,,,,,,,,2.56
519,Picture,Moxaico,Manos que logran Vida,2021,Spain,"Agricultural life, focusing on a person tending to grapevines. On the left, a profile of a face made out of grapevine elements, merging with the scene. The phrase ""Manos que logran vida"" translates to ""Hands that achieve life"". A palette of greens, representing the grape leaves, with purples and yellows for the grapes and background elements. ",https://www.instagram.com/p/CMzU3LDB98k/ ,,,,,,,,,,,,,,,,,,,,,,,,,,,2.70
520,Picture,Crystal Vielula,Llams in Love,2009,United States,"Two anthropomorphic creatures with the heads of llamas and the bodies of humans, dressed in elaborate, colorful garments and stand back-to-back, each holding an object—a blue orb and a pink crystal. Above them is a rainbow arching from one side to the other. The rainbow seems a symbol of LGBT+ pride and diversity. The artwork has a light blue background, the multicolored rainbow, and the llamas' attire featuring purples, blues, yellows, and greens.",https://www.crystalvielula.com/uploads/1/5/4/4/15441928/7272415_orig.jpg,Crystal Vielula,,,,,,,,,,,,,,,,,,,,,,,,,,3.01
521,Picture,Crystal Vielula,Romance,2013,United States,"Two anthropomorphic figures with equine heads and human bodies, positioned in a mirror image, sharing a heart against a backdrop of radiating multicolored rays resembling the colors of the LGBT+ pride flag. Colors: A diverse palette, including the multicolored rainbow patterns, along with pinks, blues, greens, and purples for the figures' clothing.",https://www.crystalvielula.com/uploads/1/5/4/4/15441928/3665144_orig.jpg,Crystal Vielula,,,,,,,,,,,,,,,,,,,,,,,,,,3.26
522,Picture,Crystal Vielula,Thank you,2020,United States,"This image shows a mural with a ""Thank You"" message in the center, surrounded by colorful patterns that include swirls and rainbow motifs. Within circular frames are portraits of individuals, each labeled with roles: ""Social Worker,"" ""Trash Collector,"" ""Delivery People,"" and ""Grocer."" These roles likely represent various essential workers. The colors are vivid and encompass nearly all hues of the rainbow.
",https://www.crystalvielula.com/uploads/1/5/4/4/15441928/thank-you-mural-ptv_orig.jpg,Crystal Vielula,,,,,,,,,,,,,,,,,,,,,,,,,,2.20
523,Picture,Levalet,Force ouvrière,2021,France,"A person in work using an helmet, seemingly engaged in a laborious task. They are leaning forward, appearing to exert great effort, with their hands gripping a large, heavy weight. their facial expression suggests strain, and their posture reflects the physical exertion involved. The mural is set against a metal door and industrial surroundings, with a sign on the door to the left reading ""FORCE 7500 kg INTERDIT AUX PERSONNES"".",https://www.instagram.com/p/CXwMI5uNqm5/,,,,,,,,,,,,,,,,,,,,,,,,,,,2.98
524,Picture,Levalet,Team building,2021,France,"A series of figures (men) in various upside-down and right-side-up poses creating a visual sequence that suggests motion or dance. The figures are rendered in a monochromatic palette, which contrasts with the wall's weathered texture. Their poses range from standing to crouching, with some appearing to be in mid-movement, as if caught during a performance or exercise.
",https://www.instagram.com/p/CPsXdcwLxui/,,,,,,,,,,,,,,,,,,,,,,,,,,,2.69
525,Picture,Levalet,Freedom,2019,Belgium,"Four figures in white shirts and dark pants, each wearing a hat, appear to be hanging from a large, twisted wire or barbed line as if they are trapped or suspended, unable to move freely. They seem to be helplessly dangling as if they are on display, much like clothing on a hanger. The figures are depicted in a monochromatic color scheme, blending into the grayscale background. ",https://www.instagram.com/p/B4kEJ48og6x/,,,,,,,,,,,,,,,,,,,,,,,,,,,2.17
526,Picture,Levalet,Biodiversité,2018,France,"Grayscale painting of a young person leaning out of a dark doorway, appearing to be taking a break from work, as suggested by their attire and the tool in hand. The person is wiping their brow, which indicates exhaustion or a pause from labor. At the bottom of the doorway, there are what appear to be crushed cans, hinting at waste or discarded items. Adjacent to the doorway is a rusted metal door with the word ""CRIN"" written on it, likely a form of graffiti.
",https://www.instagram.com/p/BjKMbxknUbG/,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25
527,Picture,Levalet,Esperando la jubilaciòn ,2016,Spain,"Two monochromatic figures, a person and a person, each occupying a separate recessed window space in a wall. Both are sitting with their knees drawn up to their chests, holding coin purses, and appear to be counting the coins. The person seems to have fewer coins compared to the man. In front of each figure, there are stacks of red objects that appear to be plastic cups or possibly candles. The figures are depicted in grayscale, in contrast the red objects and the surrounding wall, which is a muted beige or brown. ",https://www.instagram.com/p/BIzrKIuhG-a/,,,,,,,,,,,,,,,,,,,,,,,,,,,1.93
528,Picture,Marthalicia Matarrita,Past Down - INHERITANCE,2016,United States,"Two red-toned figures, each with an elephant head merging into their own. The elephants' trunks are intertwined above the figures, symbolizing a connection between them. The figures are submerged in water or a wave-like design, with green and blue hues swirling around. One of the figures holds a small blue bowl, while the other uses a long stick or spoon to stir something in the bowl. The background features a rising sun, and the water seems to blend into the horizon. The colors primarily consist of reds, purples, greens, and blues. (Note: A mother pouring knowledge onto their daughter, celebrating the value of transferring wisdom and traditions from one generation to the next, emphasizing the importance of preserving what we inherit).",https://www.instagram.com/p/Bf_teaJljYj/,,,,,,,,,,,,,,,,,,,,,,,,,,,2.52
529,Picture,Marthalicia Matarrita,We are from Water and from £arth ,2017,United States,"A figure, with two visible hands, cradling a baby in the arms, both rendered in shades of blue. The surrounding environment also incorporates blue tones, creating a unified color scheme. In the white background, there is a silhouette of birds in flight, drawn in a lighter blue. A small, green object, possibly a boat, is visible on the right side, providing a contrast against the dominant blue color. At the top of the blue area that forms part of the figure, there also appears to be a hint of green, suggesting the presence of vegetation.",https://www.instagram.com/p/BZ18h_IBPQJ/,,,,,,,,,,,,,,,,,,,,,,,,,,,3.18
530,Picture,Marthalicia Matarrita,"Dizzy Gillespie "" Art is not a crime""",2017,United States,"A person playing a trumpet, standing above children who are reading books on a floating platform that appears to be a tree root or a piece of land with tendrils or roots extending downward. The background features a blue sky with clouds. The colors include earth tones for the figures and the floating platform, with blues for the sky. (Note: The ""Education Is Not A Crime"" campaign emphasizing the connection among global communities facing oppression. It aims to raise awareness about the discrimination against Iranian Baha'is, by also addressing inequality and discrimination worldwide. The initiative advocates for a universal approach to fighting injustice).
",https://www.instagram.com/p/BY_TEufBH5m/,,,,,,,,,,,,,,,,,,,,,,,,,,,1.99
531,Picture,Marthalicia Matarrita,Rhino and child,2018,United States,"Juxtaposition of a human profile and a rhinoceros head merging into one another. A geometric shape, specifically a red triangle, intersects the two profiles. The background is a simple blue, which contrasts with the red geometric figure and complements the gray tones used for the profiles.
",https://www.instagram.com/p/BXwJAC1hiwP/,,,,,,,,,,,,,,,,,,,,,,,,,,,2.95
532,Picture,Moxaico,Almócita contra la violencia de género,2018,Spain,"A person's face with a sorrowful expression. Two large scrolls or lists with names, and between them, a statement in Spanish reads ""Almohada contra la violencia de género"" (translates to ""A pillow against gender violence""). The lists may represent the names of victims or survivors of gender-based violence. Additionally, silhouettes of people can be seen between the scrolls. The colors are muted, with the person's face in grayscale against the cream-colored background of the scrolls.",https://www.instagram.com/p/BgGk96WB-Zc/ ,,,,,,,,,,,,,,,,,,,,,,,,,,,3.01
533,Picture,Moxaico,"Comissions...""Existen pocas armas en el mundo tan poderosas como una niña con un libro en la mano""",2020,Spain,"A young person reading a book. Above their head, a thought bubble contains various symbols representing different school subjects or areas of knowledge, such as science, mathematics, and art. The background features silhouettes of people with a gender equality symbol, indicating a diverse group. The text on the book they are holding reads, ""Por un futuro entre iguales"" (translates to ""For a future among equals"") and further text states ""La educación no cambia el mundo, cambia a las personas que van a cambiar el mundo"" (""Education does not change the world, it changes the people who are going to change the world"". The colors are varied and vibrant, mainly with with green, yelow and orange. 
",https://www.instagram.com/p/CCI49iZpCRf/ ,,,,,,,,,,,,,,,,,,,,,,,,,,,2.62
535,Picture,Nark,All Lives Matter?,2021,Portugal,"A young child and an adult person are separated by barbed wire. The child, dressed in a pink and white striped shirt, reaches out with an expression of fear, while the person, with a distressed look on their face, extends their arm. The background is pale.",https://www.instagram.com/p/CSFWPpyDlPW/,,,,,,,,,,,,,,,,,,,,,,,,,,,1.31
536,Picture,Nark,(Unknown Title),2019,Portugal,"An array of wildlife, with the central image being a stag with a prominent set of antlers that frame a forest and river scene. Alongside the stag, there are portraits of other animals, including an owl and a boar, depicted with a high level of detail and realism. These animals are presented in front of the natural landscape. The colors are natural and earthy, with rich browns, greens, and blues.",https://www.instagram.com/p/Btgxq6cDgfb/ ,,,,,,,,,,,,,,,,,,,,,,,,,,,2.37
537,Picture,DjLu / Juegasiempre,Mujer es poder / Woman is power,2021,Colombia,"An elderly person holding a dog. The phrase ""mujer es poder"" (translating to ""woman is power"") is displayed on the left. The figures are in grayscale against a yellow backdrop, along with the brown and maroon decorative elements.",https://www.instagram.com/p/CNtDGcRsKa2/,,,,,,,,,,,,,,,,,,,,,,,,,,,2.83
539,Picture,DjLu / Juegasiempre,Luchamos bajo el mismo arcoíris,2021,Colombia,"A group of individuals from diverse backgrounds, with a range of expressions from thoughtful to joyful. The artwork features a stylized, illustrative technique with strong outlines and textured shading. Below the figures, there is a phrase in Spanish that reads, ""Luchamos por el mundo arcoíris,"" (translates to ""We fight for the rainbow world""). This phrase, accompanied by the rainbow stripe, suggests advocacy for inclusivity and diversity, commonly associated with the LGBT+ movement.
",https://www.instagram.com/p/CQ7R4R1Ma3V/,,,,,,,,,,,,,,,,,,,,,,,,,,,2.59
540,Picture,DjLu / Juegasiempre,Llamada de la tierra ,2021,Colombia,"A close-up portrait of a person wearing a hat. The person's face is rendered in monochrome, contrasting with the geometric, colorful background pattern that includes a depiction of a pineapple. To the left, the words ""Llamada de la Tierra"" are written (translating to ""Call of the Earth"" in English). ",https://www.instagram.com/p/CTNbXeFL3dC/,,,,,,,,,,,,,,,,,,,,,,,,,,,3.04
541,Picture,DjLu / Juegasiempre,La guerra no es un juego,2021,Dominican Republic,"A child smiling and playing with what appears to be a toy tank, the child and the toy are depicted in grayscale against a light background. Accompanying the image is the Spanish phrase ""la guerra no es un juego,"" (translates to ""war is not a game""). The colors are monochromatic.
",https://www.instagram.com/p/CYHDIgeLTUX/,,,,,,,,,,,,,,,,,,,,,,,,,,,2.22
542,Picture,DjLu / Juegasiempre,Cóndor,2022,Colombia,"Andean Condor with its wool made up of dripping lines and patterns. The colors are monochromatic, primarily using black and white with shades of gray. (Note: Highlights the critical conservation status of the Andean Condors in Colombia, where their numbers are decreasing due to human impact).",https://www.instagram.com/p/CYemDEGrwtF/,,,,,,,,,,,,,,,,,,,,,,,,,,,2.62
543,Picture,DjLu / Juegasiempre & May Rojas,Sin campo no hay ciudad ,2022,Colombia,"A person in a cowboy hat with a smile. In the foreground, two large hands are holding a pile of green beans or peas, which seem to be spilling over the edges. The colors are predominantly green for the beans, earth tones for the hands, black and white for the portrait of the person, and additional black, green, yellow, and blue in the graphic elements around the portrait.
",https://www.instagram.com/p/Ch7w7TNO4nU/,https://www.instagram.com/p/Ck3XmUyMLp1/,,,,,,,,,,,,,,,,,,,,,,,,,,2.57
544,Picture,DjLu / Juegasiempre,Educación es equidad,2022,Colombia,"A child smiling created with bold black strokes on a backdrop of alternating yellow and black stripes. Words are etched across the face: ""Educación es Equidad"" (Education is Equity). The color scheme uses black and yellow for the background stripes, which frame and highlight the child's face and the white text.
",https://www.instagram.com/p/CkjaL7Lunlg/,,,,,,,,,,,,,,,,,,,,,,,,,,,2.49
545,Picture,João Samina,Colors 3,2016,Spain,"Fragmented geometric patterns with realistic depictions of a person's face. The face appears multiple times across the mural, rendered in black and white, with varying degrees of visibility, some parts obscured by the overlapping shapes. The man’s expression seems intense with one image showing their holding their hand near their face. The background is divided into blocks of red, black, gray, and white.
",https://www.behance.net/gallery/41143911/MURAL-at-LA-MANCHA-COLORS-3-2016/modules/248383971,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00
546,Picture,Liqen,El renacer,2014,Italy,"A large red rake against a background filled with grey industrial machinery and debris. Between the tines of the rake, small green plants are sprouting. The colors are predominantly red for the rake, various shades of grey for the machinery, and green for the plants.",https://www.instagram.com/p/Cf15pPHusQk/,https://www.facebook.com/LIQEN/photos/pb.100050213061664.-2207520000./1432918870136480/?type=3,,,,,,,,,,,,,,,,,,,,,,,,,,2.78
547,Picture,Liqen,Citizen,2022,Mexico,"A large mechanized figure with a humanoid face connected to an array of industrial pipes and apparatuses. The figure's eyes are depicted as red. It is wearing a gas mask, with various pipes and tubes connected to it, and smoke and pollution are being emitted from the machinery attached to its head. The figure appears to be looking down at a smartphone in its hand. The palette is muted, with shades of gray, green, and beige dominating the scene.",https://www.instagram.com/p/CcFCUfuOYyP/,,,,,,,,,,,,,,,,,,,,,,,,,,,1.38
548,Picture,Liqen,CUCATRÁFICO,2018,Germany,"An array of various vehicles, and possibly robot parts, all entangled in a jumbled heap. The color palette is limited, dominated by greys and whites. ",https://www.liqen.org/wp-content/uploads/2021/05/Liqen-Mural-Final_Part02.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,3.18
549,Picture,Liqen,El cuidado,2016,Ukraine,"An anthropomorphic fish-headed figure dressed in a uniform, adorned with a red beret. The figure is surrounded by other marine elements, suggesting a fusion of human and aquatic life. The colors are varied, with the red of the beret, the blues of the water and uniform, and the various hues of the marine life.
",https://www.facebook.com/photo/?fbid=1123482141080156&set=pb.100050213061664.-2207520000.,,,,,,,,,,,,,,,,,,,,,,,,,,,2.31
550,Picture,Liqen,Desordes Creativas,2013,Spain,"A large broom is sweeping up a collection of small, dark grey robotic-like figures. The broom is painted in bright red with a yellow top, and it is positioned on a tiled floor that reflects the figures and objects around it. To the left, there is a large hand with a gold rings on the ring finger, emerging from a grassy area. The grass is painted in various shades of green, with a texture that contrasts with the smooth surface of the tiles. Behind the hand, a large slipper with a plaid pattern in blue, green, and white is partially visible, 
To the right, there is a red signature by the artist. ",https://www.facebook.com/LIQEN/photos/pb.100050213061664.-2207520000./868097836618589/?type=3,,,,,,,,,,,,,,,,,,,,,,,,,,,2.85
551,Picture,Liqen & Mona Caron,Emer-gentes,2017,Spain,"Sprawling green plants with numerous leaves and a bright central flower at the top. The flower is white and yellow, radiating a glowing light. The green plants appear to be growing over a backdrop that resembles a complex industrial system, rendered in shades of purple and gray. The scene includes various elements, such as buildings, structures, and mechanical or electronic components. Some small figures are scattered throughout the cityscape, and a statue of a horse-mounted figure is visible on the right side of the mural. (Note: titled ""Emer(gentes)"" features botanical motifs, wildflowers, and weeds. The artist emphasizes the focus on garden weeds, as the plants capable of breaking through concrete with patience. Used metaphorically to convey a symbol of hope and change, suggesting that even in tough conditions, growth and transformation are possible).",https://www.facebook.com/LIQEN/photos/pb.100050213061664.-2207520000./1432918870136480/?type=3,https://www.facebook.com/LIQEN/photos/pb.100050213061664.-2207520000./1432918870136480/?type=3,,,,,,,,,,,,,,,,,,,,,,,,,,2.37
552,Picture,Juanjo Surace,Empty hook,2022,France,"A large, anthropomorphic fish-like creature seated in a contemplative pose, with human-like arms and legs, resting in an underwater environment. Above it, a fishing hook looms, while a smaller creature with a shell observes from below. The colors are vibrant, with a rich palette of blues, greens, and oranges that create a lively underwater scene. (Note: The artwork presents two interpretations: one highlighting the environmental harm done to oceans and the other depicting individual vulnerability within society's constraints).
",https://www.instagram.com/p/Cg1txmJIDOl/,Juanjo Surace,,,,,,,,,,,,,,,,,,,,,,,,,,2.31
553,Picture,Juanjo Surace,Pachamama,2022,Romania,"A giant creature covered in green fur, resembling a mix between a plant and an animal. The creature has a gentle and friendly appearance, with a broad face, expressive eyes, and large curled horns on its head. It is seated, taking up most of the wall, with its large feet resting on the ground. In its hand, it holds a tiny human figure, a young person dressed in red and white, who is holding a small stuffed toy. The person seems to be looking up at the creature. The background includes a few small trees and rocks, emphasizing the peaceful and natural setting. (Note: Explores the relationship between new generations and Mother Nature, suggesting that young people could be our hope in halting the environmental destruction caused by humanity). ",https://www.instagram.com/p/Cgj8vsyqsff/,Juanjo Surace,,,,,,,,,,,,,,,,,,,,,,,,,,3.16
554,Picture,Juanjo Surace,Una firma más…,2023,Spain,"A surreal figure seated at a desk, resembling a humanoid insect or alien. The figure is dressed in a formal green suit and is seated in a red chair. Its head is adorned with multiple bulbous eyes and long, protruding antennae and two horns. The figure holds a pen in one hand, as if writing or signing a document, while the other hand rests on the desk. The background is a mix of green tones, with framed pictures behind the figure and abstract elements. ",https://www.instagram.com/p/CoFNO2oKWFE/,Juanjo Surace,,,,,,,,,,,,,,,,,,,,,,,,,,2.13
555,Picture,Emmanuel Jarus,Offshore,2020,Malaysia,"Artwork spread across multiple vertical panels, depicting an elderly person, likely a fisherperson, holding what appears to be fishing tools—possibly a trident-like spear. The figure is rendered in earth tones such as browns and beiges. The gaze of the individual is directed toward the task at hand. The background suggests that the person is on a boat, with the sea behind them. ",https://www.instagram.com/p/B8ESUuFjC49/,Emmanuel Jarus,,,,,,,,,,,,,,,,,,,,,,,,,,2.95
556,Picture,Emmanuel Jarus,(Unknown Title),2019,Canada,"Portrays a person resting on the ground, seemingly in a state of sleep or exhaustion, covered by a thin material and with a ""RECYCLE"" plastic bag prominently displayed nearby. The color scheme consists primarily of subdued blues, grays, and browns, with contrasting touches of white and the green of the plastic bag, set against a dark red and black background.",https://www.instagram.com/p/Bz30rqJDVBy/,,,,,,,,,,,,,,,,,,,,,,,,,,,1.79
557,Picture,Emmanuel Jarus,Organics,2018,India,"A person in a red shirt wielding a tool, set against a backdrop that incorporates actual building features, such as windows and air conditioners. The mural is overlaid with lush green leaves that seem to grow from the real foliage at the building's base. (Note: ""Organics,"" serves as a reminder to the residents that they are integral parts of a larger whole within the microcosm of their neighborhood).
",https://www.instagram.com/p/BqxMNrznVDW/,@jaruskr,,,,,,,,,,,,,,,,,,,,,,,,,,2.74
558,Picture,Emmanuel Jarus & Zek Montreal,(Unknown Title),2017,Canada,"A person, likely a farmer, standing and holding a pitchfork. The figure is dressed in overalls and a checkered shirt with rolled-up sleeves, with a red cap on their head, looking off to the side. The background includes elements that resemble grasses and plants. In the corner, there appears to be a table. The mural is painted on a tall cylindrical structure, like a silo.",https://www.instagram.com/p/BVNX0edFbFR/,,,,,,,,,,,,,,,,,,,,,,,,,,,2.71
559,Picture,Theic Licuado,Juana de América,2017,Uruguay,"A person sitting at a desk, writing with a quill pen, which suggests a vintage setting. They are dressed in an modest outfit, with their hair styled in a neat updo. The scene around their is filled with various objects: a globe, several books, a teacup, and a vase with flowers. There's a detailed botanical illustration leaning against a book, and an open box with letters inside. The mural is set against the backdrop of a building, with windows above the desk area, blending the artwork into the actual architecture. The colors are soft and muted.",https://www.instagram.com/p/BaCewQhHm3w/,Theic Licuado,,,,,,,,,,,,,,,,,,,,,,,,,,2.96
560,Picture,Theic Licuado,Life's Circle,2017,Spain,"An elderly person with grey hair and a young girl, both engaged in a symbolic exchange. The elderly person is dressed in a light-colored blouse, has their arm around the young girl, who is wearing a sleeveless top. The person holds a small, blue globe in their hands, symbolizing the Earth. The elderly person is holding an hourglass, which they are presenting to the girl. The background is a soft beige, blending with the building's architecture.",https://www.instagram.com/p/BXTl7WGHSJo/,Theic Licuado,,,,,,,,,,,,,,,,,,,,,,,,,,2.10
561,Picture,Theic Licuado,Comunidad,2018,United States,"The mural shows several figures, mostly women, dressed in garments of green, blue, and red. The figures appear to be interacting with each other, with some extending their arms and hands toward one another. The figures are depicted in a continuous line across the wall. The colors are muted and earthy, with the background of the mural being a soft grey. (Note: Community as unity, as a celebration of differences and shared values, recognizing that each individual is essential for maintaining the balance of the whole).",https://www.instagram.com/p/Brkh6rbAicP/,Theic Licuado,,,,,,,,,,,,,,,,,,,,,,,,,,2.51
562,Picture,Theic Licuado,Tejiendo redes,2017,Spain,"Three figures (possibly women) standing side by side, each dressed in a loose, oversized shirt in different solid colors—blue, light brown, and green. The figures are depicted with their arms outstretched, holding a long, curved piece of string or rope that connects them. Their faces are not visible, as they are either turned away from the viewer or obscured. The background is composed of a brick wall. The overall color scheme is muted and earthy.",https://www.instagram.com/p/ByF_aUoIGO-/,Theic Licuado,,,,,,,,,,,,,,,,,,,,,,,,,,3.23
563,Picture,Theic Licuado & Ozearv ,(Unknown Title),2019,Portugal,"Two men, each holding a circular object that features an illustration of a person's face surrounded by intricate patterns. The person on the left holds an object with a blue face and patterns, while the person on the right holds one with a red face and patterns. Colors: blue and red of the circular objects against the orange background.
",https://www.instagram.com/p/B0TMngsI9Lt/,Theic Licuado,,,,,,,,,,,,,,,,,,,,,,,,,,2.80
564,Picture,Theic Licuado,(Expedición a la Serra da Estrela),2021,Portugal,"A series of scenes spread across three horizontal levels, portraying people dressed in traditional clothing, engaged in rural or pastoral activities in a mountainous landscape. At the top, two people stand on a rocky terrain, dressed in traditional attire, including long white shirts and shawls. They appear to be in conversation, walking together with one person gesturing with their hand as they navigate the rocky landscape. Two other figures are depicted but not entirely visible. In the middle scene, six figures. One stands with their back to the viewer, holding a staff and gazing into the distance, another is seated on the ground. The background showcases a mountain range. Below people are seated on the ground, facing each other. The people are draped in shawls and skirts, and they appear to be in contemplation or conversation. A sheep is grazing nearby. The backdrop continues to feature the mountain landscape, with a peak in the distance. The scenes have soft earth-toned, with greens, browns, blues, and neutral shades of the figures' clothing.",https://www.instagram.com/p/CRq77uRoGeN/,Theic Licuado,,,,,,,,,,,,,,,,,,,,,,,,,,2.53
565,Picture,Theic Licuado,“Las mujeres de las defensas”,2019,Uruguay,"Three people positioned side by side. The left person is dressed in a red dress with long sleeves. They stand with a contemplative expression, gazing off into the distance. The central person is dressed in a white blouse with lace trim and a yellow shawl draped over their shoulders. They holds a spear upright. their expression is serious and determined, directly facing the viewer. The person on the right, dressed in a dark teal garment, stands with their back mostly to the viewer. They holds a rolled piece of paper behind their back, possibly symbolizing a hidden plan, secret knowledge, or the importance of communication. Each person representing different shades of red, yellow, and blue against the pale background.",https://www.instagram.com/p/BtBgg4GASCS/ ,Theic Licuado,,,,,,,,,,,,,,,,,,,,,,,,,,2.51
566,Picture,Mabel Vicentef,ADRID AND TROPICAL,2015,Argentina,"Two people embracing each other. The person on the left has their head adorned with large green leaves, while the person on the right has flowers in their hair. Additionally, on top of the head of the person on the right, there is a small, diminutive figure of a person waçking. The people on the right is dressed in green, which complements the natural elements in their hair. The overall color scheme is dominated by greens, browns, and floral hues, against the warm yellow background.",https://images.squarespace-cdn.com/content/v1/55328775e4b0fc1dd6767c74/1571846939902-M4O94XPNI6HAV21G7OT0/ARID+and+tropical.jpg?format=1000w,Mabel Vicentef,,,,,,,,,,,,,,,,,,,,,,,,,,2.62
567,Picture,Tamara Alves,"You go your way, I’ll go your way too ",2017,Portugal,"A person's face, looking sideways. Next to the person is a large dog, possibly a wolf, with its head close. In the foreground, there's a hand holding a bird, with other birds around, and flowers at the bottom. There is also text on the mural and a silhouette of a person with a dog. The color palette is dominated by cool tones, with purples and blues, and touches of white and pink that add contrast and visual interest.",https://freight.cargo.site/w/1250/i/11a3f010f8b3de810e2288228fe79a164b9ad8525d9c7cc360c8adb84b6fafeb/IMG_3324.JPG,Tamara Alves,,,,,,,,,,,,,,,,,,,,,,,,,,2.08
568,Picture,Tamara Alves,Storytellers,2021,Portugal,A young person sitting among three wolves in various poses. The setting seems to be outdoors with elements of foliage in the background. Color predominance of cool greens and greys. The human figure contrasts with the wolves through the use of lighter skin tones and a black outfit.,https://freight.cargo.site/t/original/i/0b8f10082c1e78c816420381cd0322300e1b5ee15d9946886236fbf53c05189b/Captura-de-ecra-2023-01-15--as-19.05.57.png,Tamara Alves,,,,,,,,,,,,,,,,,,,,,,,,,,2.79
569,Picture,Tamara Alves,HEARTOCTOPUS,2014,Portugal,"An octopus, with its tentacles spread out across the wall. The head of the octopus is centrally located, and its tentacles extend outwards. The octopus is in shades of black and white, with hints of pink and blue on the head.
",https://freight.cargo.site/t/original/i/67869c8cfc19bcb40b4c5e2e4a87d026977067b814e4c99b33d66900c4a33550/20141101_131438.jpg,Tamara Alves,,,,,,,,,,,,,,,,,,,,,,,,,,3.48
570,Picture,Tamara Alves,STARVING,2013,Portugal,"A human face in profile, black and white against a deeply blue background, with a bird, seemingly lifeless, placed at the human mouth. The color blue dominates.",https://freight.cargo.site/t/original/i/9cd46cf2bc175ae8deea75d015499745c6cab5c57a74d45b9dc5458867f0344e/Murtas-Mural.jpg,Tamara Alves,,,,,,,,,,,,,,,,,,,,,,,,,,2.98
571,Picture,Alice Pasquini,Heritages,2016,Italy,"The word ""MIGRANTS"" written in large, blue capital letters, with a structure that resembles a roof above the text. Below the text, resting against the baseline as if it were the ground, is a figure wrapped in a blanket, in a sleeping or exhausted posture. The color blue is used for the text and the outline of the roof, a neutral background.",https://www.alicepasquini.com/wp-content/uploads/2018/10/heritages_alicepasquini_biancoshock.jpg,"Alice Pasquini, https://www.alicepasquini.com/",,,,,,,,,,,,,,,,,,,,,,,,,,2.63
572,Picture,Alice Pasquini,(Unknown Title),2014,Cape Verde,"A person carrying a large basket on their head adorned with a colorful pattern. their attire and the way they carries the basket suggest a cultural practice of carrying goods, which is common in many parts of Africa and other regions around the world. The color palette includes earthy tones and some colors on the basket and headscarf.
",https://www.alicepasquini.com/wp-content/uploads/2018/10/fogo-cover.jpg,"Alice Pasquini, https://www.alicepasquini.com/",,,,,,,,,,,,,,,,,,,,,,,,,,3.01
573,Picture,Calo Lopez Rosa,(Unknown Title),2014,United States,"Two smiling children. Above and around the children are colorful, oversized vegetables and fruits, such as carrots, broccoli, mushrooms, strawberries, and eggplant. These items are floating in the sky, which is painted in bright blue with green clouds. On the left side of the mural, a text reads: ""Welcome to Cornerstone Road Gardens, home of Veggies on the Sprouts."" The words are written in various colors. The children are depicted in earthy tones, with the person on the left having braided hair and the person on the right having a bald head. The bottom features a green field.",https://www.instagram.com/p/tnoRWozDE6/?hl=en,Calo Lopez Rosa,,,,,,,,,,,,,,,,,,,,,,,,,,2.07
574,Picture,Slim Safont,Directed education,2022,Italy,"A young child reading a book. The child is seated at a desk cluttered with various colored pencils and papers, focusing on the book. There is a pair of adult hands holding the book open. The child is also holding a blue pen or pencil in their right hand. The colors in the image are subdued, with the child's red shirt in contrast against the darker background.
",https://www.slimsafont.com/copia-de-copia-de-to-be-daughter-son,Slim Safont,,,,,,,,,,,,,,,,,,,,,,,,,,2.28
575,Picture,Slim Safont,Pull and All-Night ,2020,Spain,"A young person deeply focused on a laptop screen, which illuminates their face in a lit setting at night. The light from the laptop screen casts a glow on their features. The color palette is subdued, with the contrasting elements of the bright laptop screen and the darker surrounding environment. (Note: created at the Polytechnic University of Valencia, depicts a student studying through the night to aptures a familiar experience for many students—pulling an all-nighter to study without sleep).",https://www.slimsafont.com/copia-de-heredity,Slim Safont,,,,,,,,,,,,,,,,,,,,,,,,,,3.16
576,Picture,Slim Safont,School Game,2019,Spain,"A young person sitting on the ground, surrounded by a number of open books. They are holding a small toy, which they are looking at. The person is wearing glasses, and their posture and environment suggest a setting of learning and play. The colors are soft and somewhat muted.
",https://www.slimsafont.com/school-game,,,,,,,,,,,,,,,,,,,,,,,,,,,2.48
